,icao24,Çağrı İşareti,Kaynak Ülke,Zaman Pozisyonu,Son Temas,Long,Lat,Baro İrtifası,Yerde,Hız,Gerçek İz,Dikey Hız,Sensörler,Geo Yükseklik,Squawk,Spi,Konum Kaynağı
3756,a09b65,GTI3740 ,United States,1714025411,1714025412,-83.1569,39.9298,12199.62,false,215.15,246.32,0.0,Veri Yok,12184.38,3467,false,0
3757,76b448,SIA147  ,Singapore,1714025412,1714025412,104.4087,1.2517,3947.16,false,151.99,289.78,-7.8,Veri Yok,4183.38,Veri Yok,false,0
3758,3003ad,DLA2YW  ,Italy,1714025412,1714025412,11.7637,48.1616,3238.5,false,150.96,176.87,9.75,Veri Yok,3169.92,1000,false,0
3759,3003ae,DLA5NH  ,Italy,1714025411,1714025412,4.8667,52.3207,320.04,false,63.87,267.23,-3.9,Veri Yok,304.8,1000,false,0
3760,3003af,DLA1FT  ,Italy,1714025411,1714025411,8.8297,45.3509,1264.92,false,96.13,317.6,0.0,Veri Yok,1249.68,1000,false,0
3761,a1c2f1,SWA5718 ,United States,1714025411,1714025412,-109.0931,37.0213,11582.4,false,181.24,247.29,-0.33,Veri Yok,11833.86,6226,false,0
3762,7c2be3,IYD     ,Australia,1714025122,1714025404,149.8851,-35.9136,1920.24,false,61.39,265.67,-0.65,Veri Yok,2019.3,Veri Yok,false,0
3763,4b9e4f,STW1011 ,Turkey,1714025411,1714025411,46.6244,43.377,11887.2,false,225.34,31.37,0.0,Veri Yok,12214.86,5166,false,0
3764,7c7b56,YNC     ,Australia,1714025371,1714025371,138.4165,-34.6486,365.76,false,58.75,142.83,-1.63,Veri Yok,480.06,Veri Yok,false,0
3765,7cf85c,ASY310  ,Australia,1714025410,1714025410,151.1751,-33.9338,Veri Yok,true,8.23,348.75,Veri Yok,Veri Yok,Veri Yok,Veri Yok,false,0
3766,4b9e4b,STW147  ,Turkey,1714025412,1714025412,39.0183,40.6522,10668.0,false,246.17,63.17,0.0,Veri Yok,11056.62,0750,false,0
3767,34718e,IBE2624 ,Spain,1714025411,1714025411,-92.9608,41.5235,10668.0,false,265.82,80.76,0.0,Veri Yok,10812.78,1367,false,0
3768,4b9e4a,STW135  ,Turkey,1714025408,1714025408,47.3734,44.2383,11277.6,false,221.81,30.37,0.0,Veri Yok,11590.02,0723,false,0
3769,7c7b54,YNA     ,Australia,1714025402,1714025402,138.3425,-34.4233,982.98,false,38.65,80.04,-4.55,Veri Yok,1112.52,Veri Yok,false,0
3770,7c7b55,YNB     ,Australia,1714025411,1714025412,138.6231,-34.7701,198.12,false,63.83,66.74,-1.63,Veri Yok,312.42,Veri Yok,false,0
3771,485a82,TFL5KW  ,Kingdom of the Netherlands,1714025411,1714025412,3.2043,49.6445,10058.4,false,242.84,201.89,0.33,Veri Yok,9860.28,2132,false,0
3772,800c44,AIC831  ,India,1714025411,1714025412,76.9325,28.5829,1470.66,false,139.11,232.66,7.15,Veri Yok,1470.66,Veri Yok,false,0
3773,800c42,AIC333  ,India,1714025274,1714025274,77.1779,28.5232,701.04,false,70.62,284.34,-3.58,Veri Yok,647.7,Veri Yok,false,0
3774,8514d6,JAL495  ,Japan,1714025229,1714025365,135.7262,33.5367,9144.0,false,205.28,244.78,0.0,Veri Yok,9494.52,2430,false,0
3775,862db6,JAL555  ,Japan,1714025411,1714025411,141.9652,42.9036,4663.44,false,206.77,22.99,-10.73,Veri Yok,4610.1,Veri Yok,false,0
3776,c03261,ACA7259 ,Canada,1714025411,1714025412,-78.3002,42.6727,9471.66,false,219.02,309.19,-7.15,Veri Yok,9357.36,3703,false,0
